Sim #,Semi_b_0,Semi_c_0,Ecc_b_0,Ecc_c_0,Inc_b_0,Inc_c_0,LongA_b_0,LongA_c_0,Mut Incl,Runtime
00000,0.112429788685,0.446596378123,0.0999572588505,0.433281976226,1.1960802737,165.625644561,7.86435880841,165.625644561,2.909903625406054,6261.000000
00002,0.0881625872395,0.477645317707,0.804611152378,0.023689327065,1.29078073494,142.564960982,102.971682147,142.564960982,2.470736792758683,0.000000
00003,0.125030056458,0.564429693557,0.341786137244,0.324360286979,1.36834754811,3.6480230645,201.02754743,3.6480230645,0.0867552797443569,1932.000000
00004,0.0160630189595,0.202574579764,0.940593146055,0.631767224682,0.287698669712,44.4866928406,233.856565253,44.4866928406,0.78139389586508,0.000000
00006,0.0415138523983,0.328391948587,0.0399089047607,0.0268986872961,2.91428187083,134.496159606,357.273375931,134.496159606,2.3841185406868792,304.000000
00007,0.122604036211,0.436838330153,0.441225044586,0.0157446489665,4.68564605821,129.58380239,162.702155731,129.58380239,2.1924093970798935,5747.000000
00008,0.0889901480746,0.245529202993,0.141728990242,0.0859671563272,3.66883383779,166.854318515,154.643888945,166.854318515,2.8492642613591843,43656.000000
00009,0.1042686931,0.662049018148,0.195077996092,0.721308955682,4.67845170319,34.1247844643,95.3455150058,34.1247844643,0.5603132955954232,0.000000
00010,0.113157897847,0.436021492191,0.268460869296,0.0151216905649,3.77754280915,298.418775418,299.439602291,298.418775418,1.1407155681457979,7725.000000
00011,0.076794748036,0.597499399597,0.649367578264,0.00264078850517,4.07065474612,111.582429291,119.086304759,111.582429291,1.8770272828258319,3060.000000
00012,0.0885398281027,0.457714719094,0.145490544807,0.132621125974,1.11801625548,12.8222159129,314.330398264,12.8222159129,0.21422804377061772,249.000000
00015,0.0222375593612,0.240360812973,0.24183950189,0.0251008086692,1.03062857914,215.475594405,146.23064546,215.475594405,2.5286005786585304,2614.000000
00016,0.0332610059411,0.406612017063,0.365902044801,0.636827406316,2.7268297526,231.076289119,46.0457625656,231.076289119,2.202727755536719,543.000000
00017,0.0390376990389,0.24123069582,0.227379516269,0.319198702162,0.0448329791721,339.722283901,113.387281429,339.722283901,0.35337308685901775,111.000000
00019,0.0195680691006,0.428317501527,0.0837647248487,0.11663318649,0.902004446943,219.40666145,58.6160998878,219.40666145,2.4389342761886943,188.000000
00022,0.0956356576987,0.296707892269,0.038963927194,0.199001720456,0.542459339681,337.771030752,239.873073265,337.771030752,0.3867756964255906,36016.000000
00023,0.0716549953805,0.327762668141,0.180291467475,0.11477137717,1.18368464302,74.0590415317,308.713677909,74.0590415317,1.3045653879209873,13262.000000
00024,0.111086965392,0.213115790487,0.0451672080332,0.31405365627,1.83263055182,139.561630209,183.186722879,139.561630209,2.412380338470117,8815.000000
00026,0.0149764122397,0.287410207158,0.34093888117,0.168459657583,1.89332407348,313.824984289,75.7458115543,313.824984289,0.7888199882447408,51.000000
00027,0.145616920249,0.466454711741,0.257144370912,0.388837674278,1.21639495294,256.208244926,275.769403285,256.208244926,1.8315062548320176,189.000000
00028,0.13164693302,0.410666213653,0.438592978023,0.184472860195,3.72084743961,55.3878628947,359.814542578,55.3878628947,0.9310198499671977,2228.000000
00029,0.0480132098417,0.219927623946,0.0234677434599,0.186078494059,3.35434475396,110.508895406,314.670704858,110.508895406,1.9820446418447544,18373.000000
00030,0.0878193356316,0.220447007647,0.0709280565363,0.0794950117157,0.261010198364,36.0067338096,305.911330944,36.0067338096,0.6284579209281873,3543.000000
00031,0.0495901256866,0.16116301176,0.0957558777152,0.362510429366,1.18548413001,30.7806890626,292.695579912,30.7806890626,0.5404845892421866,79713.000000
00033,0.0897280556935,0.459975430323,0.21208969911,0.117641958971,3.68043522954,276.47990305,286.118948932,276.47990305,1.521034843616443,6436.000000
00034,0.0769796328277,0.651333677066,0.267052567972,0.324981930894,3.28453684086,269.616525347,228.893285318,269.616525347,1.6209200284769063,2615.000000
00035,0.106164964899,41.8192558038,0.253104035882,0.310977021365,0.821350290651,91.943189508,259.780098301,91.943189508,1.6187246718119777,0.000000
00037,0.0519386682025,0.21308991014,0.250518499114,0.139775233132,0.818552307208,173.928102304,178.83916097,173.928102304,3.021377864142054,34854.000000
00038,0.137766307251,0.380226782811,0.0453859860919,0.239901929729,3.48980289876,22.9422391223,52.6943077483,22.9422391223,0.34877951148882663,27865.000000
00039,0.0591743970914,0.322491605886,0.0729723718581,0.365922054274,2.95471778659,338.513039196,238.063124618,338.513039196,0.3690000107941889,119.000000
00040,0.103529220928,0.551055325107,0.820632734481,0.538948403247,0.496864908007,246.017799904,188.70104718,246.017799904,1.9940355558911431,0.000000
00042,0.0547462309744,14.0828040692,0.0715850660903,0.697094214961,3.67198478807,336.735588461,96.4226489501,336.735588461,0.37819134093194884,0.000000
00043,0.0905922298135,0.300796659102,0.782073999485,0.101861813333,2.14189372576,313.032849872,276.15307564,313.032849872,0.849860184715514,0.000000
00044,0.0302461793867,0.148926058945,0.151392255351,0.294943483568,2.49221244893,35.8429600327,29.6044492708,35.8429600327,0.5823545692628366,7816.000000
00045,0.0437667163401,0.276988189092,0.125783273503,0.221845862309,4.72154324735,38.840736547,29.0144077252,38.840736547,0.5968410967922751,12492.000000
00046,0.0286750904371,0.383148061516,0.0256967016486,0.361236143583,0.11739934272,286.237898804,36.062706973,286.237898804,1.2866971602734183,329.000000
00048,0.148066589057,0.427920427432,0.126393758998,0.103733441743,4.66386422853,223.112556611,152.11395416,223.112556611,2.412363800247501,15659.000000
00049,0.121246251621,0.477245396233,0.149830589357,0.00632736149982,0.876244300398,224.374880673,302.723763488,224.374880673,2.3700782806705125,25926.000000
00050,0.0867048574194,0.296704385057,0.354970902847,0.253297777248,0.334212197492,93.8738764985,0.626994702276,93.8738764985,1.6387374542470883,33519.000000
00051,0.0701130438674,0.406609436572,0.610034539266,0.36180014298,4.64436837337,316.101824205,202.207455908,316.101824205,0.7363151920700749,2221.000000
00052,0.145492785923,181.624830906,0.920308570164,0.240045300842,1.34530946116,358.363805747,350.254887402,358.363805747,0.051908035603393105,0.000000
00054,0.0811844907334,0.234363836516,0.191329135221,0.114499898246,1.63494008864,59.7590124366,155.054212322,59.7590124366,1.0458595228707788,24194.000000
00055,0.0536393365308,0.27817995593,0.429626732924,0.445735428559,0.839709609434,282.851232241,109.706748945,282.851232241,1.3319494551562414,0.000000
00056,0.0139479579033,0.122827244382,0.551805917541,0.0567876962276,2.80868882943,47.0781891848,96.0965967107,47.0781891848,0.7901846417274245,54.000000
00058,0.108140390551,0.23578737825,0.0789752136476,0.0947378564565,1.89774823687,46.6992488594,273.408129911,46.6992488594,0.8380335362455743,32485.000000
00059,0.147119736631,1.29141942778,0.697062520303,0.749583943023,0.730916618958,70.9065463279,182.583560123,70.9065463279,1.2422889353611546,0.000000
00060,0.062606657796,0.176797284477,0.310025666629,0.0856696270996,2.54035164806,67.0251707223,117.275552322,67.0251707223,1.1417139225682487,28513.000000
00061,0.0181774857164,0.321536874522,0.4075341769,0.0479571915311,2.51466143101,89.7023523557,274.204563848,89.7023523557,1.6093550327184103,29.000000
00062,0.0838668070831,0.468726996086,0.280829687292,0.692864991632,4.78235656974,232.280565952,351.395106618,232.280565952,2.1865550935369624,0.000000
00063,0.112534656229,0.371033679874,0.0038309261362,0.317810991226,1.00967190456,10.2382929832,67.8975472939,10.2382929832,0.1699115076996025,5670.000000
00064,0.142394116963,0.467891747428,0.204990249678,0.54279116149,1.4639928217,51.4836162439,22.0986779081,51.4836162439,0.876358786211981,30553.000000
00065,0.0160958624951,0.0479296812237,0.0594877753383,0.266071139544,1.44150776228,98.4316116787,50.245667269,98.4316116787,1.7011567667955625,359.000000
00066,0.107363189533,0.492631515277,0.335601146215,0.126082028562,1.99173316146,314.103545684,329.255084264,314.103545684,0.8346364450892019,304.000000
00068,0.0728808038867,0.311750121713,0.0353580409906,0.147810215001,1.85476866424,298.637898688,156.789614415,298.637898688,1.0456266902719884,2148.000000
00069,0.100294929396,0.30918940082,0.612655454987,0.156421507588,0.601612638577,279.795852917,285.37400879,279.795852917,1.4102769266807014,576.000000
00070,0.0921455906658,20.6827331528,0.429928272916,0.27221862912,3.15290010805,303.575701446,339.312124211,303.575701446,1.0297827376803452,0.000000
00072,0.140763183126,0.893226136338,0.249129190384,0.127872369637,1.52876173639,355.583047529,342.246632483,355.583047529,0.1032360054714165,2469.000000
00074,0.120125266283,0.481176824818,0.170767783052,0.10245651148,3.8392363482,356.382534207,219.316098232,356.382534207,0.0477347701945548,10461.000000
00075,0.124770140474,0.200995647284,0.0324756364887,0.0519211746392,2.79740888276,79.1787809969,101.445098412,79.1787809969,1.3367827254793414,1129.000000
00076,0.0271543756607,0.157773008013,0.0492606863858,0.470992560655,2.73639992719,37.6224085714,214.203073129,37.6224085714,0.7043139675245025,13063.000000
00077,0.0415883434094,0.224741490423,0.15799338536,0.211683665798,0.836895337661,111.149857333,313.557535949,111.149857333,1.9534285834851615,14199.000000
00080,0.0869784734767,0.21505550045,0.092760263248,0.00783285274136,0.911746197555,190.977873366,0.160565294293,190.977873366,2.93434115444678,57450.000000
00081,0.0118063843164,0.0711981685805,0.324314909811,0.140966177053,4.48254930997,233.394541157,132.662159295,233.394541157,2.1929588069337966,773.000000
00082,0.0750273509288,0.212868222544,0.202327123927,0.0709657597863,2.99299435543,279.17274978,285.676157174,279.17274978,1.4626056097108395,48761.000000
00083,0.0985274805527,0.302174431045,0.124228801294,0.120227718593,1.27773808033,204.214365494,27.7833209417,204.214365494,2.6967127278564083,7048.000000
00087,0.0965109948115,0.413817037437,0.275468661244,0.336609310395,1.62454772068,206.984898763,152.70215958,206.984898763,2.6866307092516393,13321.000000
00088,0.0193001507389,0.416111295303,0.317332582272,0.0929177703307,0.286044527965,92.7863035934,241.631054638,92.7863035934,1.6236986866278924,481.000000
00089,0.135224382789,1.92726805345,0.273505153137,0.807992245838,4.35204258799,311.775002764,295.049981461,311.775002764,0.9146244770697576,0.000000
00090,0.068267667523,0.425440062508,0.44544351201,0.0295170794043,1.29042716457,59.3834201689,347.441059526,59.3834201689,1.0295916757260415,1494.000000
00091,0.0524695400115,0.379834698559,0.48564293157,0.214311178969,4.58262586881,9.00948454228,295.65274195,9.00948454228,0.15450056685871902,10815.000000
